Name,Net_Worth_USD,Height_cm,Status,Source_of_Wealth
Gary Burns,8150055,164.83,Living,Entertainment
Dylan Mason,8064596,192.92,Living,Aerospace
Alexander Elliott,8009824,166.01,Deceased,Mining
Jeremy Robertson,7992179,167.58,Deceased,Manufacturing
Harold Wallace,7987557,183.87,Living,Real Estate
Timothy Stewart,7951578,201.19,Living,Pharmaceuticals
Robert McDonald,7912746,202.62,Deceased,Healthcare
Kevin Robinson,7910552,178.95,Deceased,Media
John Henry,7890118,160.76,Living,Luxury
Edward Fox,7881906,177.44,Deceased,Sports
Alexander Gray,7840469,184.64,Living,Pharmaceuticals
Ethan A. Shaw,7833747,171.63,Living,Energy
Henry Harrison,7822536,188.58,Living,Entertainment
Carl Hall,7774281,175.5,Deceased,Luxury
Michael Mills,7744606,200.07,Deceased,Energy
Mark Marshall,7735577,189.75,Living,Insurance
Bobby Hunter,7673479,189.53,Deceased,Entertainment
Stephen Young,7669948,180.22,Deceased,Food & Beverage
Patrick Crawford,7617499,206.88,Deceased,Fashion
Alexander Martin,7593363,194.21,Deceased,Aerospace
Bruce Stone,7570163,203.91,Living,Fashion
Zachary Bell,7560849,196.29,Living,Manufacturing
Jeffrey Lawrence,7544548,153.33,Living,Energy
Gabriel Berry,7517613,177.78,Living,Energy
Johnny Willis,7501545,198.52,Living,Mining
Austin Wilson,7466416,208.18,Deceased,Automotive
Kenneth Ferguson,7445196,167.71,Deceased,Sports
Roger Roberts,7434585,201.71,Deceased,Entertainment
Paul Morales,7376121,159.98,Deceased,Banking
Billy Gonzalez,7348648,209.79,Deceased,Oil & Gas
Randy Cole,7273952,183.08,Deceased,Energy
George Jackson,7259353,201.98,Deceased,Healthcare
Mark Nichols,7236600,204.65,Living,Luxury
Tyler Gomez,7217141,199.34,Living,Oil & Gas
Mark Nelson,7212855,159.31,Living,Telecommunications
Kenneth Burns,7194010,157.13,Living,Agriculture
Steven Kelley,7162132,206.92,Deceased,Luxury
Philip Miller,7119669,150.87,Deceased,Construction
James Roberts,7081318,209.94,Deceased,Banking
Keith Sanders,7072545,167.3,Deceased,Banking
Sean Morales,7035302,164.6,Deceased,Transportation
Willie Graham,7022527,158.62,Living,Agriculture
Robert Ruiz,6984350,160.84,Deceased,Agriculture
Ryan Armstrong,6969513,158.36,Deceased,Construction
Jose Payne,6955837,178.39,Living,Construction
Nathan Cruz,6873965,199.63,Deceased,Food & Beverage
Adam Williams,6807972,194.39,Deceased,Transportation
Brian V. Young,6782834,184.38,Deceased,Automotive
Christian Parker,6778688,157.88,Living,Entertainment
Bobby Scott,6745666,165.91,Living,Food & Beverage
Timothy Morales III,6742299,196.56,Deceased,Healthcare
Robert Anderson,6733171,156.19,Deceased,Telecommunications
Jesse L. Davis,6711590,187.77,Deceased,Agriculture
Bryan Arnold,6694866,165.39,Deceased,Construction
Jesse Jackson,6638789,199.04,Deceased,Transportation
Brandon Williams,6633019,174.14,Deceased,Mining
Walter Perez,6556583,203.6,Living,Pharmaceuticals
Harold Marshall,6509195,183.86,Living,Telecommunications
Billy Wells,6509081,189.93,Deceased,Real Estate
Roy B. Dixon,6486581,179.68,Living,Luxury
Noah Stephens,6453316,186.83,Living,Agriculture
Michael Murray,6446771,209.73,Living,Sports
Martin Coleman,6391739,198.89,Deceased,Agriculture
Eric Mitchell,6349476,156.98,Deceased,Real Estate
David Owens,6319437,187.72,Living,Food & Beverage
Willie O. Simpson,6287383,157.72,Deceased,Entertainment
Lawrence Dunn,6273042,164.78,Deceased,Pharmaceuticals
James H. Alexander,6254914,190.37,Deceased,Media
Jacob Price,6230536,170.33,Deceased,Luxury
John R. Hernandez,6213689,191.18,Living,Aerospace
Eric Elliott,6163484,155.85,Living,Energy
Jeffrey Ferguson,6106755,172.71,Living,Pharmaceuticals
Matthew Castillo,6088980,191.68,Living,Finance
Henry Parker,6035479,157.95,Deceased,Oil & Gas
Wayne Foster,6024603,166.71,Deceased,Oil & Gas
Mark Carroll,5991374,186.3,Deceased,Investment
Juan Phillips,5959627,180.32,Deceased,Sports
Christian Hudson,5955059,171.1,Deceased,Oil & Gas
Richard Harper,5941147,199.32,Living,Manufacturing
Kyle N. Wood,5908051,205.22,Deceased,Technology
Willie Thomas,5901979,184.82,Deceased,Healthcare
Jacob Peters,5886370,202.41,Living,Banking
Albert Warren,5823809,186.56,Deceased,Fashion
Daniel Lewis,5819035,185.4,Living,Insurance
Ryan Castillo,5790330,209.28,Living,Technology
Andrew Jordan,5784096,167.83,Living,Oil & Gas
Jeremy Palmer,5773056,202.82,Deceased,Entertainment
Eugene Brooks,5726881,158.17,Living,Entertainment
Lawrence Marshall,5631296,179.24,Living,Energy
John Nichols,5607711,184.34,Living,Telecommunications
Harold Sims,5604734,183.92,Living,Insurance
Zachary Gordon,5580746,151.77,Living,Telecommunications
Tyler Taylor,5579278,207.91,Living,Retail
Bruce Q. Butler,5569840,197.58,Deceased,Transportation
Christian K. Turner,5564695,209.83,Deceased,Insurance
Anthony White,5531925,201.79,Living,Luxury
Robert Crawford,5523893,160.5,Living,Healthcare
Harold Y. Chavez,5495980,182.25,Deceased,Telecommunications
Andrew X. Parker,5484540,197.82,Deceased,Transportation
Jason Vasquez,5478199,201.59,Deceased,Sports
Kyle Fisher,5473523,196.36,Living,Real Estate
Eric Diaz,5471602,165.63,Deceased,Healthcare
Adam Williams,5437115,184.97,Living,Food & Beverage
Kenneth Porter,5418750,198.28,Deceased,Media
Jerry Rodriguez,5397157,200.69,Living,Healthcare
James C. Reyes,5385838,153.32,Living,Real Estate
Jacob Baker,5368812,170.37,Deceased,Agriculture
Victor Smith,5338484,204.54,Living,Construction
Peter Hunter,5329737,175.33,Living,Banking
Billy Evans,5310944,158.37,Living,Investment
Mark Rice,5282129,169.32,Living,Retail
Dylan Reyes,5272009,175.17,Living,Sports
David Y. Knight,5268879,172.96,Deceased,Banking
Gregory Reed,5264059,158.49,Living,Technology
Patrick Hill,5261301,159.78,Deceased,Pharmaceuticals
Douglas Gonzalez,5255172,173.35,Deceased,Agriculture
Jonathan Butler,5222823,201.85,Living,Manufacturing
Mark Ramos,5204361,198.03,Living,Telecommunications
Nicholas Dixon,5183037,192.17,Living,Automotive
Arthur Weaver,5179729,181.2,Living,Healthcare
Billy Ortiz,5173818,178.0,Living,Finance
Jesse Johnson,5160693,197.7,Deceased,Energy
Jose W. Wood,5126018,208.13,Deceased,Technology
Gary Gordon,5125766,155.92,Living,Entertainment
Austin Coleman,5117900,188.95,Living,Healthcare
Randy Marshall,5077895,157.82,Living,Automotive
Jacob Carter,5064566,171.01,Living,Luxury
Jesse Murray,5047867,207.67,Living,Construction
Scott M. Davis,4985751,196.33,Deceased,Real Estate
Kenneth Arnold,4983793,192.76,Living,Agriculture
Kenneth Williams,4963011,160.04,Deceased,Technology
Joe Wells,4955225,154.04,Living,Retail
Louis Ellis,4903368,165.82,Living,Mining
Robert Morgan,4899715,194.92,Living,Investment
Mason Williams,4898407,201.39,Living,Finance
Eric Young,4807770,186.41,Living,Telecommunications
Henry Gibson,4783114,204.36,Deceased,Finance
Jose Gomez,4778388,193.95,Living,Fashion
Scott Wallace,4764901,156.79,Living,Sports
Dylan Reyes,4758843,183.28,Deceased,Healthcare
Kenneth Walker,4747877,201.07,Living,Luxury
Kenneth Armstrong,4745156,178.02,Deceased,Luxury
Robert Stewart,4721197,199.18,Deceased,Agriculture
Jason Foster,4685731,160.79,Living,Telecommunications
Zachary Matthews,4680623,200.14,Living,Investment
Jeffrey Kim,4676928,192.43,Deceased,Finance
Alexander Watson,4666618,164.48,Living,Banking
Jonathan Reed,4666596,194.84,Deceased,Telecommunications
Philip Z. Allen,4658738,206.02,Living,Banking
Charles Thompson,4651612,161.73,Deceased,Fashion
Alexander Carroll,4600124,175.08,Deceased,Agriculture
Douglas W. Reynolds,4595087,187.3,Living,Food & Beverage
William Webb,4568059,188.5,Living,Luxury
Gabriel West,4509843,197.99,Deceased,Pharmaceuticals
Joshua Simmons,4493562,181.8,Living,Real Estate
Peter O. Smith IV,4481015,159.02,Living,Construction
Nicholas Nichols,4477194,152.4,Living,Pharmaceuticals
Andrew Hawkins,4461123,162.07,Deceased,Construction
Aaron Graham,4448883,186.02,Living,Banking
David Lewis,4410845,157.79,Living,Mining
Bradley Jenkins,4409906,191.17,Living,Energy
Mark Chavez,4402659,175.61,Living,Entertainment
Jordan Jimenez,4384813,160.35,Living,Aerospace
Jason Barnes,4383461,152.17,Deceased,Oil & Gas
Willie C. Jones,4383132,207.98,Living,Transportation
Jacob Thompson,4378878,169.25,Living,Energy
Timothy Cooper,4362641,152.89,Living,Aerospace
Benjamin Y. Andrews,4317294,203.58,Deceased,Automotive
Steven Murphy,4287090,206.25,Deceased,Banking
Zachary Armstrong,4268652,185.23,Deceased,Entertainment
Eugene A. Warren,4235382,200.87,Living,Investment
Vincent F. Spencer,4227143,155.27,Living,Automotive
Juan Brown,4215989,191.49,Deceased,Automotive
Justin Webb,4194526,171.44,Living,Finance
Donald Bennett,4191757,195.86,Deceased,Transportation
Alexander Hawkins,4157342,166.04,Living,Manufacturing
Benjamin Cox,4152068,204.73,Deceased,Construction
Alan Lee,4104379,196.58,Living,Food & Beverage
Justin Robertson,4099192,193.65,Living,Transportation
Mason Garcia,4085100,161.16,Deceased,Banking
Justin Murphy,4057638,198.94,Deceased,Aerospace
Bradley Bradley,4015314,182.48,Deceased,Insurance
Jason Lane,3986333,162.63,Deceased,Transportation
Anthony Scott,3975861,195.48,Deceased,Media
Henry Weaver,3966316,199.58,Deceased,Construction
Jose McDonald,3955997,193.51,Deceased,Food & Beverage
Carl Parker,3914537,197.01,Deceased,Mining
Keith W. Lewis,3908112,189.9,Deceased,Finance
Charles Alvarez,3906953,179.04,Deceased,Media
George Jordan,3871494,181.44,Deceased,Entertainment
Peter Rivera,3868746,199.56,Deceased,Aerospace
Alan Warren,3850254,205.06,Deceased,Entertainment
Billy Ross,3834717,179.04,Deceased,Food & Beverage
Nicholas Sullivan,3805363,196.86,Living,Banking
Philip Sims,3779950,173.07,Deceased,Healthcare
Tyler Ruiz,3775804,188.92,Living,Retail
Joe Owens,3768309,198.92,Deceased,Pharmaceuticals
Jordan Jones,3766171,202.8,Living,Healthcare
Nathan M. Thompson,3750539,201.56,Deceased,Manufacturing
Gerald Fisher,3739239,202.87,Living,Pharmaceuticals
Justin Flores,3734769,177.56,Living,Technology
Lawrence Kennedy,3709500,186.57,Living,Healthcare
Aaron Anderson,3707750,151.84,Living,Energy
Patrick Boyd,3692015,167.53,Living,Sports
Stephen Chavez,3679738,204.49,Deceased,Construction
Douglas Riley,3665621,168.62,Living,Fashion
Kenneth Gomez,3627244,168.85,Deceased,Investment
Aaron Sanders,3604423,158.74,Deceased,Aerospace
Michael Roberts,3557678,181.21,Deceased,Technology
Walter Shaw,3551933,155.56,Living,Pharmaceuticals
Noah Sanchez,3543306,202.13,Deceased,Sports
Henry Riley,3542437,195.69,Deceased,Agriculture
Johnny Sullivan,3518587,154.27,Deceased,Mining
Carl Arnold,3513791,199.51,Deceased,Telecommunications
Zachary Campbell,3506168,205.23,Deceased,Energy
Ralph Phillips,3505236,195.4,Deceased,Entertainment
Christopher Gomez,3484230,181.33,Living,Aerospace
John Cook,3482652,151.41,Living,Construction
Ryan Parker,3482606,177.79,Living,Aerospace
Noah Bailey,3439039,206.4,Deceased,Retail
Lawrence Peterson,3434957,158.07,Deceased,Retail
Alan Martinez,3433410,157.55,Deceased,Fashion
Keith Mason,3423005,190.85,Living,Food & Beverage
Mark C. Marshall,3410286,171.96,Deceased,Aerospace
Benjamin Gomez,3384653,190.37,Living,Food & Beverage
John Myers,3380222,192.07,Deceased,Pharmaceuticals
Donald Davis,3374624,198.64,Deceased,Oil & Gas
Michael Gonzales,3363371,150.14,Deceased,Manufacturing
Billy Ramos,3361865,187.52,Deceased,Retail
Sean Roberts,3358397,201.37,Deceased,Construction
Gabriel Hall,3342442,204.72,Deceased,Mining
Bryan K. Palmer,3333338,201.1,Deceased,Transportation
Kevin Franklin,3324499,171.6,Deceased,Entertainment
Michael Patel,3309196,202.28,Living,Pharmaceuticals
Juan Reyes,3293347,182.8,Deceased,Finance
Samuel Stone,3292404,176.94,Deceased,Investment
Tyler Miller,3288817,181.04,Deceased,Energy
Scott I. Daniels,3276598,171.6,Living,Healthcare
Bobby Duncan,3273720,184.55,Deceased,Sports
Dennis Reyes,3262193,166.35,Deceased,Finance
Ethan Long,3261270,186.67,Living,Transportation
Christopher Weaver,3256008,198.98,Living,Agriculture
Wayne Gonzalez,3240661,155.11,Deceased,Oil & Gas
Michael Reynolds,3230299,185.76,Deceased,Media
Nathan Kennedy,3228331,154.44,Living,Banking
Samuel Roberts,3220193,163.2,Deceased,Insurance
Douglas I. Bell,3204463,183.37,Deceased,Energy
Bradley Wright,3169552,164.25,Deceased,Agriculture
Billy Collins Sr.,3161295,179.6,Living,Healthcare
Jeffrey Chavez,3153583,180.27,Living,Insurance
Kenneth Ramirez,3135333,167.14,Deceased,Investment
Henry Hudson,3102462,176.77,Deceased,Fashion
Gerald Murray III,3095158,163.58,Living,Energy
Roger Shaw,3094307,151.82,Deceased,Retail
Scott Gomez,3086248,163.76,Deceased,Luxury
Eric Chavez,3082807,201.97,Deceased,Aerospace
Gary B. Stephens,3074782,176.79,Living,Energy
Scott Patterson,3050260,190.18,Living,Energy
Randy Ferguson,3035526,206.41,Deceased,Agriculture
Willie McDonald,3022357,155.22,Living,Insurance
Larry Adams,3014603,188.22,Living,Agriculture
Kyle Payne,3001798,205.11,Living,Food & Beverage
Gregory Lawrence,2973369,150.94,Deceased,Aerospace
Kevin Armstrong,2949732,163.08,Living,Healthcare
Jordan Wood III,2939725,197.01,Living,Fashion
Paul Peterson,2929105,157.65,Deceased,Pharmaceuticals
Donald Thomas,2884506,183.8,Living,Luxury
Philip Coleman,2882370,172.91,Living,Finance
Randy Armstrong,2881605,171.29,Deceased,Energy
Roger Green,2875264,188.57,Living,Investment
William Murray,2870278,165.15,Living,Food & Beverage
Tyler Sullivan,2846859,204.16,Deceased,Pharmaceuticals
Walter West,2833220,186.67,Living,Oil & Gas
George Brooks,2822460,203.72,Living,Entertainment
Benjamin Owens,2814497,163.13,Deceased,Telecommunications
Christopher Greene,2795926,161.69,Living,Oil & Gas
Joshua Rose,2782335,184.08,Deceased,Pharmaceuticals
Willie Gonzalez,2779661,188.75,Deceased,Technology
Carl Q. Reyes,2761176,182.32,Deceased,Technology
Kenneth O. Wallace,2759122,150.59,Living,Insurance
Wayne West,2755036,154.6,Deceased,Pharmaceuticals
Peter Stewart,2750866,183.33,Living,Entertainment
Nathan Harris,2723777,182.75,Living,Telecommunications
Douglas T. Wells,2713121,173.16,Deceased,Luxury
Austin U. Cox,2712974,202.9,Deceased,Insurance
Tyler Richardson,2695933,171.82,Living,Automotive
Willie X. Simpson,2674574,170.81,Living,Technology
Jose Nguyen,2654602,154.88,Living,Real Estate
Dylan B. Wagner,2654026,199.11,Deceased,Entertainment
Roger Johnson,2644234,163.36,Living,Finance
Brian Austin,2642381,208.55,Deceased,Automotive
Gabriel Roberts,2637635,206.12,Living,Media
Robert Young,2631933,209.28,Deceased,Media
Kevin Duncan,2625304,200.25,Deceased,Banking
Edward Sims,2595021,168.08,Deceased,Technology
Justin Dixon,2559077,204.35,Living,Investment
Juan Bennett,2547298,188.66,Living,Luxury
Philip Reyes,2545118,160.07,Living,Transportation
David J. Fox,2544784,193.18,Living,Construction
Victor Ortiz,2538446,166.37,Deceased,Oil & Gas
Noah Henderson,2498711,161.88,Deceased,Real Estate
Christian Spencer,2488446,169.04,Deceased,Automotive
Roy Gomez,2469990,151.3,Deceased,Sports
Stephen Pierce,2469484,203.47,Deceased,Technology
Dylan Lane,2456874,184.05,Living,Energy
Paul King,2455742,174.73,Living,Insurance
David Warren,2451936,163.96,Living,Insurance
Jose Chavez,2393082,186.09,Living,Luxury
Adam Mills,2388942,163.74,Living,Telecommunications
Ralph Porter,2388279,178.69,Deceased,Retail
Charles Jackson,2377216,169.19,Deceased,Luxury
Bruce Brooks,2372138,191.96,Living,Fashion
Louis Ramos,2371748,155.9,Deceased,Mining
Paul Martin,2350654,180.98,Living,Telecommunications
Keith Young,2332787,208.19,Deceased,Mining
Walter V. Lee,2326573,155.3,Living,Insurance
Brandon Daniels,2324596,206.82,Deceased,Aerospace
Gabriel Allen,2313217,150.22,Deceased,Sports
Paul M. Duncan,2302188,169.69,Living,Luxury
Adam A. Graham IV,2299729,190.98,Living,Insurance
Gerald Black,2287127,204.19,Deceased,Sports
Kenneth Hamilton,2281790,201.19,Living,Entertainment
Roy Stephens,2281204,202.21,Deceased,Banking
Joshua Stewart,2280985,205.23,Deceased,Finance
Bryan Peterson,2279662,176.14,Deceased,Banking
Kenneth Turner,2262733,168.28,Living,Healthcare
Lawrence Holmes,2260491,180.57,Living,Oil & Gas
Patrick Alvarez,2247281,162.74,Living,Media
Gregory Bailey,2236910,167.7,Deceased,Food & Beverage
Jose Morales,2231992,198.42,Deceased,Retail
Bradley C. Cunningham,2223097,150.87,Living,Oil & Gas
George Palmer,2217830,196.57,Deceased,Aerospace
Thomas Davis,2207870,191.86,Deceased,Manufacturing
Austin Daniels,2206612,187.23,Deceased,Agriculture
Brandon Gonzales,2206251,174.27,Deceased,Energy
Bobby Daniels,2193100,207.77,Living,Luxury
Nathan S. Brooks,2186201,194.88,Deceased,Investment
Bryan Carter,2183578,170.5,Living,Transportation
Jose Flores,2182592,160.05,Living,Investment
Timothy Smith,2173815,154.34,Deceased,Media
Stephen D. Perkins,2153617,151.75,Deceased,Telecommunications
Stephen Chavez,2150896,163.37,Living,Real Estate
Eugene Cruz,2149257,183.55,Living,Sports
Nathan M. Hunter,2138765,193.77,Deceased,Technology
Joe Chavez,2135932,173.83,Deceased,Media
Noah Kelley,2121367,154.01,Living,Luxury
Austin Robinson,2107570,160.73,Deceased,Finance
Richard Franklin,2104138,174.87,Living,Sports
Stephen Crawford,2101791,151.77,Living,Telecommunications
James Peters,2094280,166.66,Deceased,Finance
Noah Jones,2087294,203.12,Living,Construction
Harold Kim,2080773,194.66,Deceased,Investment
Edward Henderson,2077649,152.63,Deceased,Fashion
Henry Diaz III,2071949,190.29,Deceased,Entertainment
Brian Gray,2063320,206.5,Deceased,Automotive
Daniel Chavez,2053841,194.81,Deceased,Telecommunications
William Stone,2044338,183.33,Deceased,Automotive
Dennis Green,2044280,180.8,Living,Telecommunications
Andrew Richardson,2042185,199.27,Deceased,Healthcare
Bobby Harrison,2039690,193.89,Living,Food & Beverage
Walter S. Watkins,2021024,201.95,Deceased,Banking
Scott Lopez,2019141,172.79,Deceased,Agriculture
Joshua Berry,2017940,193.74,Deceased,Investment
Kenneth Ellis Jr.,1984041,187.04,Deceased,Transportation
Carl Payne,1957617,151.2,Living,Automotive
Albert Gardner,1949403,155.01,Living,Pharmaceuticals
Vincent James,1938113,197.27,Deceased,Transportation
Alan Alexander,1930924,154.95,Deceased,Agriculture
John A. Daniels,1929120,174.19,Deceased,Automotive
David Edwards,1926940,180.42,Living,Healthcare
Roy Patterson,1896831,172.56,Living,Investment
Tyler R. Fisher Sr.,1895946,155.58,Living,Mining
Dennis Stevens,1888155,185.03,Living,Energy
Martin Torres,1851103,151.38,Deceased,Media
Zachary Long,1843687,177.93,Living,Healthcare
Martin Andrews,1842310,165.79,Deceased,Retail
Randy King,1837354,162.53,Deceased,Pharmaceuticals
Charles N. Gibson Sr.,1826214,156.16,Living,Healthcare
Albert Coleman,1814032,190.01,Living,Fashion
Brian Porter,1810082,205.27,Deceased,Technology
Dennis Diaz,1807575,162.06,Living,Luxury
Harold Carpenter,1792975,159.4,Deceased,Healthcare
Patrick Jordan,1782374,202.24,Deceased,Oil & Gas
Sean Foster,1779742,152.2,Deceased,Transportation
Dylan Lane III,1772947,198.91,Living,Sports
Jose Owens,1767100,157.24,Living,Real Estate
Henry Alvarez IV,1764674,194.43,Living,Investment
Eugene Shaw,1759541,173.05,Living,Luxury
David Lee,1757517,190.02,Living,Sports
Joshua Henderson,1755507,205.82,Deceased,Telecommunications
Wayne Reynolds,1751347,166.76,Deceased,Pharmaceuticals
Bradley Jackson,1738937,154.26,Deceased,Mining
Christopher Lane,1730477,205.71,Living,Agriculture
Jacob Wells,1729229,200.07,Deceased,Agriculture
Jonathan C. Rogers,1721747,153.68,Living,Finance
Noah Johnson,1719880,156.62,Deceased,Investment
Jacob Nelson,1707967,199.2,Living,Insurance
James Green Sr.,1706366,190.86,Deceased,Insurance
Samuel Morales,1689425,185.99,Deceased,Investment
Bobby A. Grant,1679630,163.18,Deceased,Insurance
Juan Bradley,1658850,184.49,Deceased,Banking
Adam Rodriguez,1656794,151.58,Living,Luxury
Keith Brooks,1652069,169.72,Deceased,Agriculture
Edward Jones,1648892,183.78,Deceased,Oil & Gas
George Peterson,1645788,165.73,Deceased,Sports
Steven Holmes,1644215,150.72,Deceased,Retail
Mark Q. Smith,1638680,182.35,Living,Retail
Mark Cruz,1629982,157.46,Living,Construction
Dennis Ross III,1623684,150.31,Deceased,Transportation
Charles Burns,1619647,168.71,Living,Fashion
Christian Porter,1619365,161.24,Living,Oil & Gas
Ronald L. Moore,1617909,175.24,Living,Entertainment
Matthew Collins,1608638,160.61,Deceased,Automotive
Mark Berry,1601914,156.15,Deceased,Transportation
Edward Rivera,1598563,152.26,Living,Food & Beverage
Richard Morris,1572386,152.24,Deceased,Fashion
Roger Clark,1571566,152.11,Living,Transportation
Jacob Howard,1562534,184.09,Deceased,Technology
Vincent Ortiz,1560898,169.74,Deceased,Technology
Jacob Thomas,1558639,159.39,Living,Construction
Dennis Martin,1554366,182.46,Deceased,Telecommunications
Nicholas Mason,1549284,162.94,Living,Oil & Gas
Richard Jenkins,1545993,189.34,Deceased,Mining
Patrick Jenkins,1543762,153.77,Deceased,Construction
Bobby Elliott II,1536843,151.59,Living,Finance
Larry Carter,1529151,190.67,Living,Technology
Stephen Ray,1521422,190.54,Deceased,Media
Jose McDonald,1507190,178.86,Living,Aerospace
Jonathan Webb,1504927,154.66,Living,Energy
Kyle K. Thompson,1504206,182.58,Deceased,Transportation
George Perry,1487142,150.46,Deceased,Finance
Bruce Lee,1477743,173.81,Living,Healthcare
Steven Sullivan,1474748,198.75,Living,Media
Brandon Foster,1462048,150.28,Living,Entertainment
Louis Ruiz,1460562,165.14,Deceased,Energy
Vincent F. Armstrong,1460083,168.53,Deceased,Retail
Jonathan Stevens,1445137,158.21,Deceased,Retail
Ralph Smith,1442631,159.24,Deceased,Banking
Joshua Bradley,1432789,156.86,Living,Energy
Mark Carroll,1420708,180.45,Deceased,Pharmaceuticals
Lawrence Freeman,1415670,181.25,Deceased,Fashion
Austin Woods,1411742,203.84,Deceased,Pharmaceuticals
Noah Kim,1402826,209.37,Living,Insurance
Roger Castillo,1392675,154.25,Living,Mining
Noah Vasquez,1388589,182.41,Deceased,Mining
David Campbell,1386639,179.76,Deceased,Technology
Andrew Gomez,1383561,195.15,Living,Transportation
Bradley Richardson,1382496,172.89,Living,Manufacturing
Jeremy Woods,1374756,168.98,Deceased,Agriculture
Philip Rivera,1328846,190.73,Living,Automotive
Randy Robertson,1328666,178.56,Living,Healthcare
Anthony Ortiz,1327297,185.28,Deceased,Luxury
Jeremy Shaw,1325552,178.16,Deceased,Transportation
Timothy Burns IV,1323181,199.59,Deceased,Food & Beverage
Wayne Reynolds,1322484,195.37,Deceased,Oil & Gas
Daniel Hill,1309555,154.79,Living,Agriculture
Martin Cooper,1305942,189.25,Living,Investment
Tyler Kennedy Jr.,1299618,187.3,Living,Investment
Martin Peters,1297170,165.21,Living,Luxury
Alan Porter,1295884,173.35,Deceased,Food & Beverage
James Anderson,1287894,209.48,Deceased,Technology
Ralph Ferguson,1280517,207.78,Deceased,Manufacturing
Sean Jimenez,1279660,207.74,Living,Retail
Roger Smith,1277337,173.85,Deceased,Telecommunications
Martin Russell,1274829,198.18,Deceased,Telecommunications
John W. Graham,1274557,188.22,Living,Retail
Albert Powell,1260756,206.21,Living,Fashion
Jesse Nichols II,1246491,196.53,Deceased,Aerospace
James Wallace,1235738,151.78,Living,Investment
Samuel Romero,1232169,207.41,Deceased,Insurance
Tyler A. Brown,1232144,189.32,Deceased,Real Estate
Mason Graham II,1229328,193.83,Living,Media
Kyle Gomez,1228790,205.05,Deceased,Oil & Gas
Bradley James,1226962,173.81,Deceased,Mining
Jacob White,1222960,176.92,Deceased,Finance
Paul Ramirez,1220245,182.26,Living,Insurance
Henry Rivera,1215890,158.02,Living,Finance
Louis Ramos,1215560,179.28,Living,Aerospace
John Campbell,1204043,151.1,Living,Construction
Tyler Marshall,1199728,201.2,Living,Banking
Stephen Kim,1197528,175.59,Living,Insurance
Ralph Fox,1195916,201.7,Living,Energy
Louis Bailey,1188692,181.04,Deceased,Healthcare
Matthew Mitchell,1185664,167.22,Living,Luxury
Johnny Green,1182553,191.6,Living,Aerospace
Jason N. Scott,1181175,177.32,Living,Finance
Daniel Parker,1179140,209.97,Living,Entertainment
Adam Martinez,1178031,161.27,Deceased,Retail
Brandon Reyes,1177466,207.55,Deceased,Investment
Alan Willis,1173015,198.05,Deceased,Construction
Jose H. Ward III,1170966,161.62,Living,Aerospace
Zachary D. Cook,1165012,178.46,Deceased,Retail
Billy Richardson,1156817,194.23,Deceased,Construction
Michael Jordan,1148108,165.06,Living,Entertainment
Eric Stone,1144059,177.32,Living,Telecommunications
Ralph Ortiz,1143721,199.05,Living,Real Estate
Jacob Reed,1141784,170.91,Living,Pharmaceuticals
Johnny Hart,1139109,165.61,Living,Telecommunications
Eugene Henderson,1128965,206.26,Deceased,Automotive
Jack Carpenter,1125707,188.73,Deceased,Investment
Alexander Nguyen,1116745,173.54,Living,Pharmaceuticals
Roy E. Henry,1107111,208.47,Deceased,Technology
Jack Edwards,1100527,174.92,Living,Investment
Eugene Wilson,1097758,168.15,Living,Banking
George Sanchez,1092401,199.63,Deceased,Pharmaceuticals
Jose Baker IV,1064557,206.35,Living,Food & Beverage
Jason Brown,1062351,165.11,Deceased,Agriculture
Billy Knight,1061867,207.2,Living,Luxury
Michael Wallace,1060362,187.12,Living,Automotive
Anthony Elliott,1059481,165.31,Living,Entertainment
William Hicks,1057987,155.61,Deceased,Entertainment
Douglas Duncan,1055849,191.2,Living,Fashion
Jeffrey Jones III,1054086,187.67,Deceased,Agriculture
Roger Murray,1052227,162.85,Living,Finance
Kyle Marshall,1049395,153.43,Deceased,Construction
Juan Richardson,1038451,159.4,Living,Insurance
Kyle Campbell,1029732,171.14,Deceased,Insurance
Mason Jordan,1021374,204.8,Living,Technology
Stephen Gomez,1002304,169.49,Deceased,Automotive
Eric Pierce,999438,170.49,Deceased,Construction
Sean Price,998577,154.74,Living,Media
Richard Ross,996834,200.19,Deceased,Media
Walter Spencer,992670,187.66,Deceased,Entertainment
Stephen Jenkins,992343,165.94,Living,Retail
Walter Ramos,991718,173.33,Living,Insurance
Jerry Rogers,991418,165.91,Living,Insurance
Joshua Lawson,988222,206.56,Living,Automotive
David Sanders,984455,161.36,Deceased,Investment
Jason Robertson,979313,196.29,Living,Finance
Donald Lawrence II,978818,197.56,Living,Finance
Michael Turner,978060,197.23,Deceased,Transportation
Roger Elliott,977125,168.89,Living,Oil & Gas
David Grant Sr.,976300,170.45,Deceased,Energy
Tyler Moore,976142,206.64,Deceased,Investment
Gary Anderson,972756,165.86,Living,Telecommunications
Jacob L. Allen,968903,157.86,Deceased,Food & Beverage
Victor Wells,965978,203.52,Deceased,Automotive
Benjamin H. Ramos,965573,188.92,Deceased,Automotive
Brian Hart,963416,177.08,Living,Construction
Peter K. Perry,963158,180.09,Deceased,Oil & Gas
Daniel Hernandez,957610,193.47,Deceased,Finance
